region_macro;region;city;fias;employer;position_type;salary_min;salary_max;salary_type;vacancy_source
Иркутская область;Иркутская обл;г Ангарск;82b6b7c8-82a4-44b2-8bc7-691373706b89;Командор, сеть супермаркетов;Продавец-кассир;19000;21000;net;hh
Красноярский край;Красноярский край;Курагино пгт;55ef712a-fc0c-4087-b30b-4bb3d056cdb1;Bank Beer;Продавец-кассир;25000;30000;net;hh
Свердловская область;Свердловская обл;г Екатеринбург;2763c110-cb8b-416a-9dac-ad28a55b4402;Леди и Джентльмен;Продавец-кассир;35000;38000;net;hh
Нижегородская область;Нижегородская обл;г Нижний Новгород;555e7d61-d9a7-4ba6-9770-6caa8198c483;КАРИ;Продавец-кассир;25000;35000;gross;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Суши WOK;Продавец-кассир;26400;39000;net;hh
Московская область;Московская обл;г Подольск;b22cf685-e391-42c8-aab5-a9aadb9193d4;КС Интернешнл;Продавец-кассир;35000;50000;net;hh
Московская область;Московская обл;г Реутов;e0504cf6-4d81-401c-b18b-434457aaaa21;КС Интернешнл;Продавец-кассир;35000;50000;net;hh
Московская область;Московская обл;г Мытищи;5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f;КС Интернешнл;Продавец-кассир;35000;50000;net;hh
Московская область;Московская обл;г Ивантеевка;e12cf909-779a-4352-af51-7a2a07668f60;КС Интернешнл;Продавец-кассир;35000;50000;net;hh
Московская область;Московская обл;г Ногинск;83503ae7-f0b9-443d-b67d-f1cbdde3caa0;КС Интернешнл;Продавец-кассир;35000;50000;net;hh
Московская область;Московская обл;г Королёв;819d6910-b4d1-474f-ad10-c1fa944dfca4;КС Интернешнл;Продавец-кассир;35000;50000;net;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Зенит, футбольный клуб;Продавец-кассир;26000;35000;net;hh
Нижегородская область;Нижегородская обл;г Нижний Новгород;555e7d61-d9a7-4ba6-9770-6caa8198c483;Куриный дом;Продавец-кассир;22000;25000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Куянцева Марина Александровна;Продавец-кассир;32000;45000;net;hh
Краснодарский край;Краснодарский край;г Краснодар;7dfa745e-aa19-4688-b121-b655c11e482f;АВС-электро;Продавец-кассир;25000;33000;net;hh
Хабаровский край;Хабаровский край;Ванино рп;2a148048-2ee1-4009-8c28-7de5b03afa35;Алкомаркет Столица;Продавец-кассир;35000;50000;gross;hh
Приморский край;Приморский край;Новый п;e2434493-f664-45f1-bcb4-e21bb77ca517;УК Розничные Технологии;Продавец-кассир;24000;30000;net;hh
Томская область;Томская обл;г Томск;e3b0eae8-a4ce-4779-ae04-5c0797de66be;Хлебница;Продавец-кассир;25000;30000;net;hh
Республика Крым;Респ Крым;г Ялта;c64ea472-28c6-4242-968f-0e1a08830f8e;ПУД;Продавец-кассир;29300;32600;gross;hh
Владимирская область;Владимирская обл;г Владимир;f66a00e6-179e-4de9-8ecb-78b0277c9f10;FIX PRICE;Продавец-кассир;21700;23500;net;hh
Московская область;Московская обл;г Апрелевка;17b4ba8a-4300-44e4-bbf7-5f0a8118ddf5;КС Интернешнл;Продавец-кассир;35000;40000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Пекарня Буханка (Артемов Дмитрий);Продавец-кассир;45000;70000;net;hh
Кемеровская область;Кемеровская область - Кузбасс;г Полысаево;34ac1b24-f541-4279-abfb-466f80ed1f7b;Ленинск-Кузнецкий Хлебокомбинат;Продавец-кассир;20000;35000;gross;hh
Кемеровская область;Кемеровская область - Кузбасс;г Ленинск-Кузнецкий;cf600ae8-e376-42ae-bf7c-5aa1875dcd28;Ленинск-Кузнецкий Хлебокомбинат;Продавец-кассир;20000;35000;net;hh
Республика Хакасия;Респ Хакасия;г Саяногорск;f89db729-bbfa-4d64-b8d5-ecafbec0733d;Командор, сеть супермаркетов;Продавец-кассир;20000;22000;net;hh
Архангельская область;Архангельская обл;г Северодвинск;32747c72-c08b-4440-b340-91f48d72f9db;Фабрикант;Продавец-кассир;30000;33000;net;hh
Рязанская область;Рязанская обл;г Рязань;86e5bae4-ef58-4031-b34f-5e9ff914cd55;FIX PRICE;Продавец-кассир;21000;22000;net;hh
Смоленская область;Смоленская обл;г Смоленск;d414a2e8-9e1e-48c1-94a4-7308d5608177;Смолбизнесцентр;Продавец-кассир;21000;30000;net;hh
Липецкая область;Липецкая обл;г Липецк;eacb5f15-1a2e-432e-904a-ca56bd635f1b;МАГНИТ, Розничная сеть;Продавец-кассир;24300;25300;gross;hh
Забайкальский край;Забайкальский край;г Чита;2d9abaa6-85a6-4f1f-a1bd-14b76ec17d9c;МЕХовский;Продавец-кассир;30000;50000;gross;hh
Челябинская область;Челябинская обл;г Сатка;8bcc16d4-ead7-4938-944c-862c7e6c67aa;Первый Рабочий;Продавец-кассир;26000;28000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Билайн;Продавец-кассир;53000;83000;gross;hh
Нижегородская область;Нижегородская обл;г Арзамас;7e42f157-87d6-4111-a406-17432e814723;ЗооОптТорг;Продавец-кассир;30000;45000;net;hh
Пермский край;Пермский край;г Пермь;a309e4ce-2f36-4106-b1ca-53e0f48a6d95;Ипполитова Екатерина Владимировна;Продавец-кассир;20000;23000;net;hh
Орловская область;Орловская обл;г Орёл;2abed4d9-5565-4885-bc96-f4ffccc6cba4;АТЕМИ-ОРЕЛ;Продавец-кассир;20000;25000;net;hh
Волгоградская область;Волгоградская обл;г Волгоград;a52b7389-0cfe-46fb-ae15-298652a64cf8;Трошкин Денис Викторович;Продавец-кассир;18000;30000;net;hh
Республика Башкортостан;Респ Башкортостан;г Уфа;7339e834-2cb4-4734-a4c7-1fca2c66e562;Абдуллин Марсель Ринатович;Продавец-кассир;20000;25000;net;hh
Астраханская область;Астраханская обл;г Астрахань;a101dd8b-3aee-4bda-9c61-9df106f145ff;MYBOX;Продавец-кассир;20000;25000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Терзи Оксана;Продавец-кассир;45000;50000;net;hh
Кемеровская область;Кемеровская область - Кузбасс;г Кемерово;94bb19a3-c1fa-410b-8651-ac1bf7c050cd;СИБПРОДУКТ;Продавец-кассир;23000;30000;net;hh
Республика Саха (Якутия);Респ Саха /Якутия/;г Якутск;884c84a2-0141-4652-962d-8a92989b88f7;Л'Этуаль;Продавец-кассир;40000;60000;net;hh
Ростовская область;Ростовская обл;;8bb74dfb-2867-45c7-bcd4-61ae72c78179;Мус-Кафе;Продавец-кассир;20000;23000;net;hh
Хабаровский край;Хабаровский край;г Хабаровск;a4859da8-9977-4b62-8436-4e1b98c5d13f;Мой Мясной;Продавец-кассир;20000;50000;net;hh
Калининградская область;Калининградская обл;г Калининград;df679694-d505-4dd3-b514-4ba48c8a97d8;Сталкер;Продавец-кассир;22500;25000;net;hh
Нижегородская область;Нижегородская обл;г Нижний Новгород;555e7d61-d9a7-4ba6-9770-6caa8198c483;Автодеталь;Продавец-кассир;25000;25000;net;hh
Челябинская область;Челябинская обл;г Троицк;b5ad78c2-cc8f-4769-9a9f-75743d8da02f;Пятёрочка;Продавец-кассир;16000;19000;gross;hh
Ивановская область;Ивановская обл;г Иваново;40c6863e-2a5f-4033-a377-3416533948bd;Пятёрочка;Продавец-кассир;17000;28000;gross;hh
Московская область;Московская обл;г Одинцово;a9efcf1d-bbfd-4df3-a4cf-bad4b1b8045b;KIDS WEAR Бутик (ИП Татурин Святослав Александрович);Продавец-кассир;35000;45000;net;hh
Ленинградская область;Ленинградская обл;Усть-Луга п;e9a45e39-d66b-445a-b971-999a22a23cd6;Пятёрочка;Продавец-кассир;23000;30000;gross;hh
Республика Татарстан;Респ Татарстан;г Казань;93b3df57-4c89-44df-ac42-96f05e9cd3b9;Black Star Burger (ИП Гайнутдинов Руслан Ильдусович);Продавец-кассир;20000;35000;net;hh
Тюменская область;Тюменская обл;г Тюмень;9ae64229-9f7b-4149-b27a-d1f6ec74b5ce;Филин Максим Владимирович;Продавец-кассир;17000;25000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Лавка раков;Продавец-кассир;40000;50000;net;hh
Московская область;Московская обл;г Химки;d76255c8-3173-4db5-a39b-badd3ebdf851;Ганова Светлана Николаевна;Продавец-кассир;38000;50000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Красное;Продавец-кассир;44000;46000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Mini Yoko;Продавец-кассир;25500;30000;net;hh
Московская область;Московская обл;г Дзержинский;6fa8b59c-cda7-4c98-8b41-e0bcb2867e16;Дерябина Евгения Михайловна;Продавец-кассир;20000;35000;net;hh
Нижегородская область;Нижегородская обл;г Бор;e736e903-6bc3-450b-b8af-7909213dc9ef;Магазин мясной кулинарии СОЛЯНКА;Продавец-кассир;20000;33000;net;hh
Нижегородская область;Нижегородская обл;г Нижний Новгород;555e7d61-d9a7-4ba6-9770-6caa8198c483;Магазин мясной кулинарии СОЛЯНКА;Продавец-кассир;20000;33000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Бондаренко Павел Викторович;Продавец-кассир;26000;52000;net;hh
Новосибирская область;Новосибирская обл;г Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;Родионов Ярослав;Продавец-кассир;28000;43000;gross;hh
Новосибирская область;Новосибирская обл;г Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;СПУН;Продавец-кассир;28000;40000;net;hh
Пермский край;Пермский край;Култаево с;11bfa172-35c1-4100-a176-95ba20fb860c;Группа СТМ Пермь;Продавец-кассир;25000;40000;net;hh
Саратовская область;Саратовская обл;г Саратов;bf465fda-7834-47d5-986b-ccdb584a85a6;Престиж Сервис;Продавец-кассир;20500;22000;net;hh
Смоленская область;Смоленская обл;г Смоленск;d414a2e8-9e1e-48c1-94a4-7308d5608177;Электрик Профи;Продавец-кассир;25000;30000;gross;hh
Ивановская область;Ивановская обл;г Гаврилов Посад;1b8fe279-e900-4fa7-97b2-4d7bb90c9eb1;ФГУП « ПРОМСЕРВИС» ФСИН России;Продавец-кассир;19620;19620;gross;hh
Новосибирская область;Новосибирская обл;г Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;Магазин канцтоваров Школьник;Продавец-кассир;20000;25000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Жукова Наталья Сергеевна;Продавец-кассир;35000;35000;gross;hh
Республика Татарстан;Респ Татарстан;г Набережные Челны;748d7afa-7407-4876-9f40-764ecdd09bbd;ЧЕЛНЫ-ХЛЕБ;Продавец-кассир;18000;20000;net;hh
Республика Саха (Якутия);Респ Саха /Якутия/;г Якутск;884c84a2-0141-4652-962d-8a92989b88f7;Атика;Продавец-кассир;30000;30000;net;hh
Курская область;Курская обл;г Курск;d790c72e-479b-4da2-90d7-842b1712a71c;Panoramamoda;Продавец-кассир;15000;50000;gross;hh
Нижегородская область;Нижегородская обл;г Нижний Новгород;555e7d61-d9a7-4ba6-9770-6caa8198c483;Пекарня-кондитерская Бон-Бриошь;Продавец-кассир;25000;30000;net;hh
Нижегородская область;Нижегородская обл;г Нижний Новгород;555e7d61-d9a7-4ba6-9770-6caa8198c483;ТД НАРОДНЫЙ;Продавец-кассир;20000;25000;net;hh
Челябинская область;Челябинская обл;г Магнитогорск;988157bf-d6d5-4c2a-80ec-4ad531eea056;КФХ Карсакбаев Адильхан Абдрахманович;Продавец-кассир;15000;25000;net;hh
Республика Бурятия;Респ Бурятия;г Улан-Удэ;9fdcc25f-a3d0-4f28-8b61-40648d099065;Доржиева Хандама Кимовна;Продавец-кассир;25000;30000;gross;hh
Калужская область;Калужская обл;г Обнинск;05a647ff-b859-4c93-8c8e-3590110a0085;ЛИДЕР КОНСАЛТ персонал;Продавец-кассир;23000;30000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Издательская группа ГЭОТАР-Медиа;Продавец-кассир;40000;45000;net;hh
Ханты-Мансийский АО - Югра;Ханты-Мансийский Автономный округ - Югра;г Сургут;f1eb1809-47d4-4f0b-9a74-fa416e9d3df2;Кидамов Анатолий Нухович;Продавец-кассир;38000;50000;net;hh
Московская область;Московская обл;г Краснознаменск;6e8a99b2-e6bd-4169-acb3-f7e6cd53be3b;Военторг - Ритейл;Продавец-кассир;30000;30000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Мясной стандарт;Продавец-кассир;40000;50000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Хозмакс;Продавец-кассир;35000;45000;gross;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Кучеренко Виктор Григорьевич;Продавец-кассир;35000;50000;net;hh
Тульская область;Тульская обл;г Новомосковск;0b6e326e-74ca-4e24-93d4-2c385c292bb5;Спортмастер;Продавец-кассир;23000;30000;gross;hh
Республика Крым;г Севастополь;г Севастополь;6fdecb78-893a-4e3f-a5ba-aa062459463b;Ru.касса;Продавец-кассир;19000;21000;net;hh
Московская область;Московская обл;г Яхрома;4e503ad8-0372-4434-888c-f111ed78040c;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Электросталь;e0b171b6-bf2e-4d68-ab05-4d42ab2b375a;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Фрязино;13696e0e-4c75-49aa-9c83-0a6faf5074ee;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Старая Купавна;d7598c38-8e4c-46a2-aa50-716f9d4343ce;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Химки;d76255c8-3173-4db5-a39b-badd3ebdf851;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Долгопрудный;dcf522ad-e032-4db9-9dbb-e30d2cddfadb;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Щёлково;c38a33c1-8f16-4454-bbf4-656d6b8b1739;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Чехов;7eeb876e-7b67-4ed7-91ec-0588712db96c;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Республика Татарстан;Респ Татарстан;г Казань;93b3df57-4c89-44df-ac42-96f05e9cd3b9;Хусаинов Фаиль Фаязович;Продавец-кассир;25000;50000;gross;hh
Нижегородская область;Московская обл;74 км ш.Москва-Нижний Новгород нп;1933bb48-14a9-4413-84d2-410b96d115e1;Charuel;Продавец-кассир;27000;37000;net;hh
Белгородская область;Белгородская обл;г Губкин;98b1ec30-6107-4f99-ae3a-9d82492f30a1;Ваш персонал;Продавец-кассир;18000;20000;gross;hh
Белгородская область;Белгородская обл;г Старый Оскол;9f5e86b1-b893-43dc-9dd4-ac66573b17d1;Ваш персонал;Продавец-кассир;18000;20000;gross;hh
Иркутская область;Иркутская обл;г Иркутск;8eeed222-72e7-47c3-ab3a-9a553c31cf72;Суливонг Ирина Ивановна;Продавец-кассир;20000;30000;net;hh
Самарская область;Самарская обл;г Самара;bb035cc3-1dc2-4627-9d25-a1bf2d4b936b;МясБерри;Продавец-кассир;30000;35000;net;hh
Свердловская область;Свердловская обл;г Сысерть;93fdb310-5e08-43ee-aabe-42e39a950928;Мансурова Евгения Дмитриевна;Продавец-кассир;20000;25000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Ритейл Резерв;Продавец-кассир;30000;35000;net;hh
Челябинская область;Челябинская обл;г Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;КАРИ;Продавец-кассир;25000;35000;gross;hh
Липецкая область;Липецкая обл;г Липецк;eacb5f15-1a2e-432e-904a-ca56bd635f1b;Хлебница;Продавец-кассир;28000;45000;gross;hh
Московская область;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Савина Светлана Викторовна;Продавец-кассир;40000;60000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Квартира Чихо;Продавец-кассир;35000;50000;net;hh
Московская область;Московская обл;г Ступино;f516f0a9-3882-42fb-ae68-87a433e83e06;Куриный дом;Продавец-кассир;23000;25000;net;hh
Республика Башкортостан;Респ Башкортостан;г Уфа;7339e834-2cb4-4734-a4c7-1fca2c66e562;Сибирская Хлебная Корпорация;Продавец-кассир;16000;16000;net;hh
Ростовская область;Ростовская обл;г Ростов-на-Дону;c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5;Биршоп;Продавец-кассир;30000;35000;net;hh
Краснодарский край;Краснодарский край;г Сочи;79da737a-603b-4c19-9b54-9114c96fb912;Mini YOKO (ИП Ильенко Оксана Николаевна);Продавец-кассир;25000;28000;net;hh
Чувашская Республика;Чувашская республика - Чувашия;г Чебоксары;dd8caeab-c685-4f2a-bf5f-550aca1bbc48;Карусель;Продавец-кассир;20500;24600;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Хлебница;Продавец-кассир;40000;40000;net;hh
Московская область;Московская обл;г Балашиха;27c5bc66-61bf-4a17-b0cd-ca0eb64192d6;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Пензенская область;Пензенская обл;г Каменка;e5313349-e01d-47a2-b329-b1629c243520;Дионис, Пенза;Продавец-кассир;20000;25000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;АГАТА;Продавец-кассир;35000;38000;net;hh
Челябинская область;Челябинская обл;г Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;Суши WOK;Продавец-кассир;20000;25000;net;hh
Республика Крым;Респ Крым;г Симферополь;b9001e55-72ed-43bf-b7eb-41b86a14380e;Пекарня Мельница;Продавец-кассир;27000;35000;net;hh
Республика Башкортостан;Респ Башкортостан;г Уфа;7339e834-2cb4-4734-a4c7-1fca2c66e562;Ми-Ли Hookah Market;Продавец-кассир;16000;45000;net;hh
Челябинская область;Челябинская обл;г Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;ПКФ Эверест;Продавец-кассир;20000;30000;net;hh
Московская область;Московская обл;г Люберцы;427b4e19-f221-4abc-8904-81f7409c1ce3;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Новосибирская обл;г Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Люберцы;36ce34f2-c23b-424b-86a6-58f7bcb3c982;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Московская область;Московская обл;г Люберцы;b4ec6ec4-6b9c-49dc-8be5-48200e4f7475;КС Интернешнл;Продавец-кассир;33000;40000;gross;hh
Краснодарский край;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Копейкина Ирина Сергеевна;Продавец-кассир;15000;20000;net;hh
Московская область;Московская обл;г Апрелевка;17b4ba8a-4300-44e4-bbf7-5f0a8118ddf5;ДИКСИ, группа компаний;Продавец-кассир;23000;36000;gross;hh
Свердловская область;Свердловская обл;г Первоуральск;45bad628-61b7-4445-b62a-fa4c7bc71ccd;JobCart.ru;Продавец-кассир;17000;25000;net;hh
Ульяновская область;Ульяновская обл;г Ульяновск;bebfd75d-a0da-4bf9-8307-2e2c85eac463;Кочедыков Алексей Эдуардович;Продавец-кассир;20000;30000;gross;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Пекарня Хлебник (КФХ Кудин Вячеслав Александрович);Продавец-кассир;35000;40000;net;hh
Нижегородская область;Нижегородская обл;г Нижний Новгород;555e7d61-d9a7-4ba6-9770-6caa8198c483;Подлесный Павел Петрович;Продавец-кассир;27000;30000;net;hh
Республика Карелия;Респ Карелия;г Петрозаводск;ccc34487-8fd4-4e71-b032-f4e6c82fb354;Фабрикант;Продавец-кассир;28000;30000;net;hh
Пермский край;Пермский край;г Пермь;a309e4ce-2f36-4106-b1ca-53e0f48a6d95;Квадрат;Продавец-кассир;25000;30000;net;hh
Республика Алтай;Респ Алтай;г Горно-Алтайск;0839d751-b940-4d3d-afb6-5df03fdd7791;Онгудайский мясокомбинат;Продавец-кассир;20000;40000;net;hh
Алтайский край;Алтайский край;г Барнаул;d13945a8-7017-46ab-b1e6-ede1e89317ad;Хлеб-4;Продавец-кассир;21000;22000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Мясоед;Продавец-кассир;35000;60000;net;hh
Республика Хакасия;Респ Хакасия;г Абакан;42a02e11-a337-4d50-8596-fc76dae7c62a;Украинская Светлана Викторовна;Продавец-кассир;21000;35000;net;hh
Ленинградская область;Ленинградская обл;Колтуши д;8e8b9677-ffe0-4522-bd68-1b128768fa30;Вимос, торговый дом;Продавец-кассир;36000;40000;net;hh
Томская область;Томская обл;г Томск;e3b0eae8-a4ce-4779-ae04-5c0797de66be;Сладомир Логистик Т;Продавец-кассир;16800;22000;net;hh
Московская область;Московская обл;г Голицыно;963efb34-c804-43b4-9298-8e145d188ed0;КАРИ;Продавец-кассир;20000;35000;gross;hh
Челябинская область;Челябинская обл;г Южноуральск;2ac904d8-365e-4f49-8ff9-f14f88609535;СПАР Урал;Продавец-кассир;17500;26650;net;hh
Приморский край;Приморский край;г Владивосток;7b6de6a5-86d0-4735-b11a-499081111af8;Сеть магазинов цифровой и бытовой техники DNS;Продавец-кассир;30000;36000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;КАРИ;Продавец-кассир;35000;40000;gross;hh
Московская область;Московская обл;г Люберцы;427b4e19-f221-4abc-8904-81f7409c1ce3;Интеллект;Продавец-кассир;22500;30000;net;hh
Липецкая область;Липецкая обл;г Липецк;eacb5f15-1a2e-432e-904a-ca56bd635f1b;Коростин Роман Сергеевич;Продавец-кассир;25000;30000;net;hh
Московская область;Московская обл;г Подольск;4305a5a5-8b2a-4fb7-8677-a74ed7180cf8;Ресурс Плюс;Продавец-кассир;40000;46000;net;hh
Московская область;Московская обл;г Подольск;b22cf685-e391-42c8-aab5-a9aadb9193d4;Ресурс Плюс;Продавец-кассир;20000;48000;net;hh
Пермский край;Пермский край;г Краснокамск;22ac4485-bdf3-422e-b67f-9b3aba46de5e;Клешин Дмитрий Николаевич;Продавец-кассир;20000;40000;net;hh
Калининградская область;Калининградская обл;г Калининград;df679694-d505-4dd3-b514-4ba48c8a97d8;ФГУП « ПРОМСЕРВИС» ФСИН России;Продавец-кассир;24000;24000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Никулин Роман Игоревич;Продавец-кассир;56000;62000;gross;hh
Свердловская область;Свердловская обл;г Первоуральск;45bad628-61b7-4445-b62a-fa4c7bc71ccd;Котова Елена Олеговна;Продавец-кассир;21000;25000;net;hh
Кировская область;Кировская обл;г Киров;452a2ddf-88a1-4e35-8d8d-8635493768d4;Спортмастер;Продавец-кассир;23000;26000;gross;hh
Челябинская область;Челябинская обл;г Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;Дракон74.рф;Продавец-кассир;28000;28000;net;hh
Краснодарский край;Краснодарский край;г Новороссийск;16ac039a-5257-4715-a8c5-d6bd9e617b53;Торговый Комплекс;Продавец-кассир;23000;25000;net;hh
Челябинская область;Челябинская обл;г Миасс;f2976e80-32e1-4284-8eda-06cf19239cd1;Спортмастер;Продавец-кассир;25800;30000;gross;hh
Самарская область;Самарская обл;г Самара;bb035cc3-1dc2-4627-9d25-a1bf2d4b936b;Группа Компаний «GreenSpark»;Продавец-кассир;50000;50000;net;hh
Кировская область;Кировская обл;г Омутнинск;9039bbb5-93a8-4172-b97c-af2b9abbb614;ФГУП « ПРОМСЕРВИС» ФСИН России;Продавец-кассир;8800;8900;net;hh
Московская область;Московская обл;г Коломна;b367fb03-29f9-4dac-8d85-01595cfb6ad9;ДИКСИ, группа компаний;Продавец-кассир;24000;30000;gross;hh
Ханты-Мансийский АО - Югра;Ханты-Мансийский Автономный округ - Югра;г Нижневартовск;0bf0f4ed-13f8-446e-82f6-325498808076;Котлев Эмиль Ринатович;Продавец-кассир;35000;40000;gross;hh
Московская область;Московская обл;г Пушкино;7f22cfa4-34fa-4fa0-bcb0-620cd8402cfa;КС Интернешнл;Продавец-кассир;33000;40000;net;hh
Республика Башкортостан;Респ Башкортостан;;c6a296e1-e7a6-4a6a-bf35-fe8bf617ab33;Купипол.рф;Продавец-кассир;23000;50000;net;hh
Московская область;Московская обл;г Звенигород;4bae8c68-e107-4352-9d4b-f937f90469ac;FIX PRICE;Продавец-кассир;28000;31000;net;hh
Краснодарский край;Краснодарский край;г Краснодар;7dfa745e-aa19-4688-b121-b655c11e482f;АВС-электро;Продавец-кассир;25000;40000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Самый Рыбный;Продавец-кассир;50000;60000;net;hh
Рязанская область;Рязанская обл;г Рязань;86e5bae4-ef58-4031-b34f-5e9ff914cd55;Кулешов Вадим Анатольевич;Продавец-кассир;20000;21000;net;hh
Ростовская область;Ростовская обл;г Ростов-на-Дону;c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5;КАРИ;Продавец-кассир;25000;30000;gross;hh
Краснодарский край;Краснодарский край;г Краснодар;7dfa745e-aa19-4688-b121-b655c11e482f;Агроторг;Продавец-кассир;25000;30000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Семейная Пекарня;Продавец-кассир;32000;60000;net;hh
Московская область;г Москва;г Зеленоград;ec44c0ee-bf24-41c8-9e1c-76136ab05cbf;JCat.ru;Продавец-кассир;40000;43000;net;hh
Республика Хакасия;Респ Хакасия;г Абакан;42a02e11-a337-4d50-8596-fc76dae7c62a;Командор, сеть супермаркетов;Продавец-кассир;20000;22000;net;hh
Новосибирская область;Новосибирская обл;г Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;Суши WOK;Продавец-кассир;27000;32000;net;hh
Алтайский край;Алтайский край;г Бийск;52f876f6-cb1d-4f23-a22f-b692609fc1e0;Недорогой магазин;Продавец-кассир;20000;24000;net;hh
Иркутская область;Иркутская обл;г Иркутск;8eeed222-72e7-47c3-ab3a-9a553c31cf72;Панина Елена Анатольевна;Продавец-кассир;24500;26000;net;hh
Краснодарский край;Краснодарский край;г Краснодар;7dfa745e-aa19-4688-b121-b655c11e482f;Питомник декоративных растений Розовый Сад;Продавец-кассир;25000;35000;net;hh
Московская область;Московская обл;г Белоозёрский;76a108ed-a04d-41d0-a556-39865e793886;FIX PRICE;Продавец-кассир;28000;31000;net;hh
Московская область;Московская обл;г Ступино;f516f0a9-3882-42fb-ae68-87a433e83e06;FIX PRICE;Продавец-кассир;27000;30000;net;hh
Ульяновская область;Ульяновская обл;г Ульяновск;bebfd75d-a0da-4bf9-8307-2e2c85eac463;Sushi Box;Продавец-кассир;20000;25000;gross;hh
